feature_name,original_columns,feature_type,data_type,unit,formula,description,dataset,task,temporal_behavior,lookback,available_at_prediction_time,leakage_status,missing_rate,variance,unique_count,status,removal_reason
rotational_speed_rpm,Rotational speed [rpm],SENSOR,int64,RPM,Raw sensor reading,Spindle angular rotational speed,AI4I_2020,Predictive_Maintenance_Classification,INSTANTANEOUS,Current tick,YES,SAFE,0.0,32142.78704749475,941,KEEP,None (valid prospective operational input)
torque_nm,Torque [Nm],SENSOR,float64,Nm,Raw sensor reading,Applied spindle torque,AI4I_2020,Predictive_Maintenance_Classification,INSTANTANEOUS,Current tick,YES,SAFE,0.0,99.37963961586159,577,KEEP,None (valid prospective operational input)
tool_wear_min,Tool wear [min],OPERATIONAL,int64,Minutes,Raw sensor reading,Cumulative active cutting time of cutting insert,AI4I_2020,Predictive_Maintenance_Classification,INSTANTANEOUS,Current tick,YES,SAFE,0.0,4051.850384038404,246,KEEP,None (valid prospective operational input)
product_type,Type,CATEGORICAL,str,Category,Raw sensor reading,"Product quality variant (Low, Medium, High)",AI4I_2020,Predictive_Maintenance_Classification,INSTANTANEOUS,Current tick,YES,SAFE,0.0,0.0,3,KEEP,None (valid prospective operational input)
temp_diff_k,Process temp - Air temp,DERIVED_THERMAL,float64,Kelvin (K),process_temperature_k - air_temperature_k,Process temperature minus air temperature (heat accumulation),AI4I_2020,Predictive_Maintenance_Classification,INSTANTANEOUS,Current tick,YES,SAFE,0.0,1.002188821982198,83,KEEP,None (scientifically grounded derived feature)
temp_ratio,Process temp / Air temp,DERIVED_THERMAL,float64,Ratio,process_temperature_k / air_temperature_k,Thermodynamic heat ratio indicator,AI4I_2020,Predictive_Maintenance_Classification,INSTANTANEOUS,Current tick,YES,SAFE,0.0,1.2195652754054677e-05,1453,KEEP,None (scientifically grounded derived feature)
mechanical_power_kw,"Torque, RPM",DERIVED_MECHANICAL,float64,kW,(2*pi*rotational_speed_rpm*torque_nm)/60000,Active mechanical cutting power = 2*pi*RPM*Torque / 60000,AI4I_2020,Predictive_Maintenance_Classification,INSTANTANEOUS,Current tick,YES,SAFE,0.0,1.1393818167523602,9176,KEEP,None (scientifically grounded derived feature)
torque_speed_ratio,"Torque, RPM",DERIVED_MECHANICAL,float64,Nm/RPM,torque_nm / rotational_speed_rpm,Mechanical load stress factor,AI4I_2020,Predictive_Maintenance_Classification,INSTANTANEOUS,Current tick,YES,SAFE,0.0,7.811558124216882e-05,9276,KEEP,None (scientifically grounded derived feature)
torque_speed_product,"Torque, RPM",DERIVED_MECHANICAL,float64,Nm*RPM,torque_nm * rotational_speed_rpm,Direct torque-speed interaction term,AI4I_2020,Predictive_Maintenance_Classification,INSTANTANEOUS,Current tick,YES,SAFE,0.0,103899162.86451569,9144,KEEP,None (scientifically grounded derived feature)
tool_wear_risk_index,Tool wear [min],DERIVED_DEGRADATION,float64,Index,(tool_wear_min / 200.0)^2,Quadratic wear acceleration index = (wear / 200)^2,AI4I_2020,Predictive_Maintenance_Classification,INSTANTANEOUS,Current tick,YES,SAFE,0.0,0.12849312159603152,246,KEEP,None (scientifically grounded derived feature)
power_temp_ratio,"Power, Temp Diff",DERIVED_EFFICIENCY,float64,kW/K,mechanical_power_kw / temp_diff_k,Thermal power dissipation ratio,AI4I_2020,Predictive_Maintenance_Classification,INSTANTANEOUS,Current tick,YES,SAFE,0.0,0.015944398272112616,9987,KEEP,None (scientifically grounded derived feature)
product_type_encoded,Type,CATEGORICAL_ENCODED,int64,"Ordinal (0,1,2)","map(L:0, M:1, H:2)","Ordinal encoding of variant: L=0, M=1, H=2",AI4I_2020,Predictive_Maintenance_Classification,INSTANTANEOUS,Current tick,YES,SAFE,0.0,0.45064497449744984,3,KEEP,None (scientifically grounded derived feature)
