feature_name,original_columns,feature_type,data_type,unit,formula,description,dataset,task,temporal_behavior,lookback,available_at_prediction_time,leakage_status,missing_rate,variance,unique_count,status,removal_reason
s13,s13,SENSOR_RAW,float64,Engineering Units,Raw telemetry,Raw turbofan channel s13 measurement at cycle t,NASA_CMAPSS_FD001,RUL_Regression,TIME_SERIES,Cycle t,YES,SAFE,0.0,0.005172330435259189,56,KEEP,None (informative diagnostic sensor)
s14,s14,SENSOR_RAW,float64,Engineering Units,Raw telemetry,Raw turbofan channel s14 measurement at cycle t,NASA_CMAPSS_FD001,RUL_Regression,TIME_SERIES,Cycle t,YES,SAFE,0.0,363.90048986553046,6078,KEEP,None (informative diagnostic sensor)
s15,s15,SENSOR_RAW,float64,Engineering Units,Raw telemetry,Raw turbofan channel s15 measurement at cycle t,NASA_CMAPSS_FD001,RUL_Regression,TIME_SERIES,Cycle t,YES,SAFE,0.0,0.001406627871778449,1918,KEEP,None (informative diagnostic sensor)
s17,s17,SENSOR_RAW,int64,Engineering Units,Raw telemetry,Raw turbofan channel s17 measurement at cycle t,NASA_CMAPSS_FD001,RUL_Regression,TIME_SERIES,Cycle t,YES,SAFE,0.0,2.3986669064124313,13,KEEP,None (informative diagnostic sensor)
s20,s20,SENSOR_RAW,float64,Engineering Units,Raw telemetry,Raw turbofan channel s20 measurement at cycle t,NASA_CMAPSS_FD001,RUL_Regression,TIME_SERIES,Cycle t,YES,SAFE,0.0,0.032669271189088474,120,KEEP,None (informative diagnostic sensor)
s21,s21,SENSOR_RAW,float64,Engineering Units,Raw telemetry,Raw turbofan channel s21 measurement at cycle t,NASA_CMAPSS_FD001,RUL_Regression,TIME_SERIES,Cycle t,YES,SAFE,0.0,0.011718251883038698,4745,KEEP,None (informative diagnostic sensor)
setting_1,setting_1,SENSOR_RAW,float64,Engineering Units,Raw telemetry,Raw turbofan channel setting_1 measurement at cycle t,NASA_CMAPSS_FD001,RUL_Regression,TIME_SERIES,Cycle t,YES,SAFE,0.0,4.784340124242533e-06,158,KEEP,None (informative diagnostic sensor)
setting_2,setting_2,SENSOR_RAW,float64,Engineering Units,Raw telemetry,Raw turbofan channel setting_2 measurement at cycle t,NASA_CMAPSS_FD001,RUL_Regression,TIME_SERIES,Cycle t,YES,SAFE,0.0,8.588540885522267e-08,13,KEEP,None (informative diagnostic sensor)
setting_3,setting_3,SENSOR_RAW,float64,Engineering Units,Raw telemetry,Raw turbofan channel setting_3 measurement at cycle t,NASA_CMAPSS_FD001,RUL_Regression,TIME_SERIES,Cycle t,YES,SAFE,0.0,0.0,1,KEEP,None (informative diagnostic sensor)
s2_diff_1,s2,DERIVED_CAUSAL_TEMPORAL,float64,Delta/Average Units,Causal transform (s2_diff_1) within engine group,Engineered degradation indicator s2_diff_1 using strictly prior/current cycles,NASA_CMAPSS_FD001,RUL_Regression,CAUSAL_TIME_SERIES,1 to 10 cycles,YES,SAFE,0.0,0.18145032230462865,524,KEEP,None (strictly causal degradation trend)
s2_degradation_delta,s2,DERIVED_CAUSAL_TEMPORAL,float64,Delta/Average Units,Causal transform (s2_degradation_delta) within engine group,Engineered degradation indicator s2_degradation_delta using strictly prior/current cycles,NASA_CMAPSS_FD001,RUL_Regression,CAUSAL_TIME_SERIES,1 to 10 cycles,YES,SAFE,0.0,0.29792466233239573,640,KEEP,None (strictly causal degradation trend)
s2_roll_mean_5,s2,DERIVED_CAUSAL_TEMPORAL,float64,Delta/Average Units,Causal transform (s2_roll_mean_5) within engine group,Engineered degradation indicator s2_roll_mean_5 using strictly prior/current cycles,NASA_CMAPSS_FD001,RUL_Regression,CAUSAL_TIME_SERIES,1 to 10 cycles,YES,SAFE,0.0,0.16826346557493202,2100,KEEP,None (strictly causal degradation trend)
s2_roll_mean_10,s2,DERIVED_CAUSAL_TEMPORAL,float64,Delta/Average Units,Causal transform (s2_roll_mean_10) within engine group,Engineered degradation indicator s2_roll_mean_10 using strictly prior/current cycles,NASA_CMAPSS_FD001,RUL_Regression,CAUSAL_TIME_SERIES,1 to 10 cycles,YES,SAFE,0.0,0.14966104135979555,3442,KEEP,None (strictly causal degradation trend)
s2_roll_std_10,s2,DERIVED_CAUSAL_TEMPORAL,float64,Delta/Average Units,Causal transform (s2_roll_std_10) within engine group,Engineered degradation indicator s2_roll_std_10 using strictly prior/current cycles,NASA_CMAPSS_FD001,RUL_Regression,CAUSAL_TIME_SERIES,1 to 10 cycles,YES,SAFE,0.0,0.005802596074687923,20332,KEEP,None (strictly causal degradation trend)
s3_diff_1,s3,DERIVED_CAUSAL_TEMPORAL,float64,Delta/Average Units,Causal transform (s3_diff_1) within engine group,Engineered degradation indicator s3_diff_1 using strictly prior/current cycles,NASA_CMAPSS_FD001,RUL_Regression,CAUSAL_TIME_SERIES,1 to 10 cycles,YES,SAFE,0.0,31.85268384807458,4456,KEEP,None (strictly causal degradation trend)
s3_degradation_delta,s3,DERIVED_CAUSAL_TEMPORAL,float64,Delta/Average Units,Causal transform (s3_degradation_delta) within engine group,Engineered degradation indicator s3_degradation_delta using strictly prior/current cycles,NASA_CMAPSS_FD001,RUL_Regression,CAUSAL_TIME_SERIES,1 to 10 cycles,YES,SAFE,0.0,51.723276573161854,5459,KEEP,None (strictly causal degradation trend)
s3_roll_mean_5,s3,DERIVED_CAUSAL_TEMPORAL,float64,Delta/Average Units,Causal transform (s3_roll_mean_5) within engine group,Engineered degradation indicator s3_roll_mean_5 using strictly prior/current cycles,NASA_CMAPSS_FD001,RUL_Regression,CAUSAL_TIME_SERIES,1 to 10 cycles,YES,SAFE,0.0,23.66055152509457,11031,KEEP,None (strictly causal degradation trend)
s3_roll_mean_10,s3,DERIVED_CAUSAL_TEMPORAL,float64,Delta/Average Units,Causal transform (s3_roll_mean_10) within engine group,Engineered degradation indicator s3_roll_mean_10 using strictly prior/current cycles,NASA_CMAPSS_FD001,RUL_Regression,CAUSAL_TIME_SERIES,1 to 10 cycles,YES,SAFE,0.0,20.663040332470604,14051,KEEP,None (strictly causal degradation trend)
s3_roll_std_10,s3,DERIVED_CAUSAL_TEMPORAL,float64,Delta/Average Units,Causal transform (s3_roll_std_10) within engine group,Engineered degradation indicator s3_roll_std_10 using strictly prior/current cycles,NASA_CMAPSS_FD001,RUL_Regression,CAUSAL_TIME_SERIES,1 to 10 cycles,YES,SAFE,0.0,1.01824916322929,20519,KEEP,None (strictly causal degradation trend)
s4_diff_1,s4,DERIVED_CAUSAL_TEMPORAL,float64,Delta/Average Units,Causal transform (s4_diff_1) within engine group,Engineered degradation indicator s4_diff_1 using strictly prior/current cycles,NASA_CMAPSS_FD001,RUL_Regression,CAUSAL_TIME_SERIES,1 to 10 cycles,YES,SAFE,0.0,32.325412281814614,4540,KEEP,None (strictly causal degradation trend)
s4_degradation_delta,s4,DERIVED_CAUSAL_TEMPORAL,float64,Delta/Average Units,Causal transform (s4_degradation_delta) within engine group,Engineered degradation indicator s4_degradation_delta using strictly prior/current cycles,NASA_CMAPSS_FD001,RUL_Regression,CAUSAL_TIME_SERIES,1 to 10 cycles,YES,SAFE,0.0,86.4182154376249,6203,KEEP,None (strictly causal degradation trend)
s4_roll_mean_5,s4,DERIVED_CAUSAL_TEMPORAL,float64,Delta/Average Units,Causal transform (s4_roll_mean_5) within engine group,Engineered degradation indicator s4_roll_mean_5 using strictly prior/current cycles,NASA_CMAPSS_FD001,RUL_Regression,CAUSAL_TIME_SERIES,1 to 10 cycles,YES,SAFE,0.0,64.51973778582791,13478,KEEP,None (strictly causal degradation trend)
s4_roll_mean_10,s4,DERIVED_CAUSAL_TEMPORAL,float64,Delta/Average Units,Causal transform (s4_roll_mean_10) within engine group,Engineered degradation indicator s4_roll_mean_10 using strictly prior/current cycles,NASA_CMAPSS_FD001,RUL_Regression,CAUSAL_TIME_SERIES,1 to 10 cycles,YES,SAFE,0.0,58.95561523560213,16189,KEEP,None (strictly causal degradation trend)
s4_roll_std_10,s4,DERIVED_CAUSAL_TEMPORAL,float64,Delta/Average Units,Causal transform (s4_roll_std_10) within engine group,Engineered degradation indicator s4_roll_std_10 using strictly prior/current cycles,NASA_CMAPSS_FD001,RUL_Regression,CAUSAL_TIME_SERIES,1 to 10 cycles,YES,SAFE,0.0,1.0065176980213317,20518,KEEP,None (strictly causal degradation trend)
s7_diff_1,s7,DERIVED_CAUSAL_TEMPORAL,float64,Delta/Average Units,Causal transform (s7_diff_1) within engine group,Engineered degradation indicator s7_diff_1 using strictly prior/current cycles,NASA_CMAPSS_FD001,RUL_Regression,CAUSAL_TIME_SERIES,1 to 10 cycles,YES,SAFE,0.0,0.33169672803608424,680,KEEP,None (strictly causal degradation trend)
s7_degradation_delta,s7,DERIVED_CAUSAL_TEMPORAL,float64,Delta/Average Units,Causal transform (s7_degradation_delta) within engine group,Engineered degradation indicator s7_degradation_delta using strictly prior/current cycles,NASA_CMAPSS_FD001,RUL_Regression,CAUSAL_TIME_SERIES,1 to 10 cycles,YES,SAFE,0.0,0.8290025924561881,998,KEEP,None (strictly causal degradation trend)
s7_roll_mean_5,s7,DERIVED_CAUSAL_TEMPORAL,float64,Delta/Average Units,Causal transform (s7_roll_mean_5) within engine group,Engineered degradation indicator s7_roll_mean_5 using strictly prior/current cycles,NASA_CMAPSS_FD001,RUL_Regression,CAUSAL_TIME_SERIES,1 to 10 cycles,YES,SAFE,0.0,0.6206019308484881,3415,KEEP,None (strictly causal degradation trend)
s7_roll_mean_10,s7,DERIVED_CAUSAL_TEMPORAL,float64,Delta/Average Units,Causal transform (s7_roll_mean_10) within engine group,Engineered degradation indicator s7_roll_mean_10 using strictly prior/current cycles,NASA_CMAPSS_FD001,RUL_Regression,CAUSAL_TIME_SERIES,1 to 10 cycles,YES,SAFE,0.0,0.5698531203146332,5449,KEEP,None (strictly causal degradation trend)
s7_roll_std_10,s7,DERIVED_CAUSAL_TEMPORAL,float64,Delta/Average Units,Causal transform (s7_roll_std_10) within engine group,Engineered degradation indicator s7_roll_std_10 using strictly prior/current cycles,NASA_CMAPSS_FD001,RUL_Regression,CAUSAL_TIME_SERIES,1 to 10 cycles,YES,SAFE,0.0,0.010920921091946686,20386,KEEP,None (strictly causal degradation trend)
s8_diff_1,s8,DERIVED_CAUSAL_TEMPORAL,float64,Delta/Average Units,Causal transform (s8_diff_1) within engine group,Engineered degradation indicator s8_diff_1 using strictly prior/current cycles,NASA_CMAPSS_FD001,RUL_Regression,CAUSAL_TIME_SERIES,1 to 10 cycles,YES,SAFE,0.0,0.0018231495714000397,65,KEEP,None (strictly causal degradation trend)
s8_degradation_delta,s8,DERIVED_CAUSAL_TEMPORAL,float64,Delta/Average Units,Causal transform (s8_degradation_delta) within engine group,Engineered degradation indicator s8_degradation_delta using strictly prior/current cycles,NASA_CMAPSS_FD001,RUL_Regression,CAUSAL_TIME_SERIES,1 to 10 cycles,YES,SAFE,0.0,0.004681965029494683,106,KEEP,None (strictly causal degradation trend)
s8_roll_mean_5,s8,DERIVED_CAUSAL_TEMPORAL,float64,Delta/Average Units,Causal transform (s8_roll_mean_5) within engine group,Engineered degradation indicator s8_roll_mean_5 using strictly prior/current cycles,NASA_CMAPSS_FD001,RUL_Regression,CAUSAL_TIME_SERIES,1 to 10 cycles,YES,SAFE,0.0,0.004100553671581367,461,KEEP,None (strictly causal degradation trend)
s8_roll_mean_10,s8,DERIVED_CAUSAL_TEMPORAL,float64,Delta/Average Units,Causal transform (s8_roll_mean_10) within engine group,Engineered degradation indicator s8_roll_mean_10 using strictly prior/current cycles,NASA_CMAPSS_FD001,RUL_Regression,CAUSAL_TIME_SERIES,1 to 10 cycles,YES,SAFE,0.0,0.0038134786765508842,883,KEEP,None (strictly causal degradation trend)
s8_roll_std_10,s8,DERIVED_CAUSAL_TEMPORAL,float64,Delta/Average Units,Causal transform (s8_roll_std_10) within engine group,Engineered degradation indicator s8_roll_std_10 using strictly prior/current cycles,NASA_CMAPSS_FD001,RUL_Regression,CAUSAL_TIME_SERIES,1 to 10 cycles,YES,SAFE,0.0,6.217041564831386e-05,18487,KEEP,None (strictly causal degradation trend)
s9_diff_1,s9,DERIVED_CAUSAL_TEMPORAL,float64,Delta/Average Units,Causal transform (s9_diff_1) within engine group,Engineered degradation indicator s9_diff_1 using strictly prior/current cycles,NASA_CMAPSS_FD001,RUL_Regression,CAUSAL_TIME_SERIES,1 to 10 cycles,YES,SAFE,0.0,34.68540297474551,4648,KEEP,None (strictly causal degradation trend)
s9_degradation_delta,s9,DERIVED_CAUSAL_TEMPORAL,float64,Delta/Average Units,Causal transform (s9_degradation_delta) within engine group,Engineered degradation indicator s9_degradation_delta using strictly prior/current cycles,NASA_CMAPSS_FD001,RUL_Regression,CAUSAL_TIME_SERIES,1 to 10 cycles,YES,SAFE,0.0,452.8035850600929,7857,KEEP,None (strictly causal degradation trend)
s9_roll_mean_5,s9,DERIVED_CAUSAL_TEMPORAL,float64,Delta/Average Units,Causal transform (s9_roll_mean_5) within engine group,Engineered degradation indicator s9_roll_mean_5 using strictly prior/current cycles,NASA_CMAPSS_FD001,RUL_Regression,CAUSAL_TIME_SERIES,1 to 10 cycles,YES,SAFE,0.0,433.70292540487674,15504,KEEP,None (strictly causal degradation trend)
s9_roll_mean_10,s9,DERIVED_CAUSAL_TEMPORAL,float64,Delta/Average Units,Causal transform (s9_roll_mean_10) within engine group,Engineered degradation indicator s9_roll_mean_10 using strictly prior/current cycles,NASA_CMAPSS_FD001,RUL_Regression,CAUSAL_TIME_SERIES,1 to 10 cycles,YES,SAFE,0.0,388.5104134987257,17566,KEEP,None (strictly causal degradation trend)
s9_roll_std_10,s9,DERIVED_CAUSAL_TEMPORAL,float64,Delta/Average Units,Causal transform (s9_roll_std_10) within engine group,Engineered degradation indicator s9_roll_std_10 using strictly prior/current cycles,NASA_CMAPSS_FD001,RUL_Regression,CAUSAL_TIME_SERIES,1 to 10 cycles,YES,SAFE,0.0,1.7173814902449729,20516,KEEP,None (strictly causal degradation trend)
s11_diff_1,s11,DERIVED_CAUSAL_TEMPORAL,float64,Delta/Average Units,Causal transform (s11_diff_1) within engine group,Engineered degradation indicator s11_diff_1 using strictly prior/current cycles,NASA_CMAPSS_FD001,RUL_Regression,CAUSAL_TIME_SERIES,1 to 10 cycles,YES,SAFE,0.0,0.020520253464184145,196,KEEP,None (strictly causal degradation trend)
s11_degradation_delta,s11,DERIVED_CAUSAL_TEMPORAL,float64,Delta/Average Units,Causal transform (s11_degradation_delta) within engine group,Engineered degradation indicator s11_degradation_delta using strictly prior/current cycles,NASA_CMAPSS_FD001,RUL_Regression,CAUSAL_TIME_SERIES,1 to 10 cycles,YES,SAFE,0.0,0.07024911969626814,324,KEEP,None (strictly causal degradation trend)
s11_roll_mean_5,s11,DERIVED_CAUSAL_TEMPORAL,float64,Delta/Average Units,Causal transform (s11_roll_mean_5) within engine group,Engineered degradation indicator s11_roll_mean_5 using strictly prior/current cycles,NASA_CMAPSS_FD001,RUL_Regression,CAUSAL_TIME_SERIES,1 to 10 cycles,YES,SAFE,0.0,0.05986943735525505,1313,KEEP,None (strictly causal degradation trend)
s11_roll_mean_10,s11,DERIVED_CAUSAL_TEMPORAL,float64,Delta/Average Units,Causal transform (s11_roll_mean_10) within engine group,Engineered degradation indicator s11_roll_mean_10 using strictly prior/current cycles,NASA_CMAPSS_FD001,RUL_Regression,CAUSAL_TIME_SERIES,1 to 10 cycles,YES,SAFE,0.0,0.05527933069297457,2262,KEEP,None (strictly causal degradation trend)
s11_roll_std_10,s11,DERIVED_CAUSAL_TEMPORAL,float64,Delta/Average Units,Causal transform (s11_roll_std_10) within engine group,Engineered degradation indicator s11_roll_std_10 using strictly prior/current cycles,NASA_CMAPSS_FD001,RUL_Regression,CAUSAL_TIME_SERIES,1 to 10 cycles,YES,SAFE,0.0,0.0006566545605843482,19931,KEEP,None (strictly causal degradation trend)
s12_diff_1,s12,DERIVED_CAUSAL_TEMPORAL,float64,Delta/Average Units,Causal transform (s12_diff_1) within engine group,Engineered degradation indicator s12_diff_1 using strictly prior/current cycles,NASA_CMAPSS_FD001,RUL_Regression,CAUSAL_TIME_SERIES,1 to 10 cycles,YES,SAFE,0.0,0.17936861055793465,519,KEEP,None (strictly causal degradation trend)
s12_degradation_delta,s12,DERIVED_CAUSAL_TEMPORAL,float64,Delta/Average Units,Causal transform (s12_degradation_delta) within engine group,Engineered degradation indicator s12_degradation_delta using strictly prior/current cycles,NASA_CMAPSS_FD001,RUL_Regression,CAUSAL_TIME_SERIES,1 to 10 cycles,YES,SAFE,0.0,0.547371580900811,822,KEEP,None (strictly causal degradation trend)
s12_roll_mean_5,s12,DERIVED_CAUSAL_TEMPORAL,float64,Delta/Average Units,Causal transform (s12_roll_mean_5) within engine group,Engineered degradation indicator s12_roll_mean_5 using strictly prior/current cycles,NASA_CMAPSS_FD001,RUL_Regression,CAUSAL_TIME_SERIES,1 to 10 cycles,YES,SAFE,0.0,0.4478301020527703,2949,KEEP,None (strictly causal degradation trend)
s12_roll_mean_10,s12,DERIVED_CAUSAL_TEMPORAL,float64,Delta/Average Units,Causal transform (s12_roll_mean_10) within engine group,Engineered degradation indicator s12_roll_mean_10 using strictly prior/current cycles,NASA_CMAPSS_FD001,RUL_Regression,CAUSAL_TIME_SERIES,1 to 10 cycles,YES,SAFE,0.0,0.41355897365484184,4802,KEEP,None (strictly causal degradation trend)
s12_roll_std_10,s12,DERIVED_CAUSAL_TEMPORAL,float64,Delta/Average Units,Causal transform (s12_roll_std_10) within engine group,Engineered degradation indicator s12_roll_std_10 using strictly prior/current cycles,NASA_CMAPSS_FD001,RUL_Regression,CAUSAL_TIME_SERIES,1 to 10 cycles,YES,SAFE,0.0,0.005801740300725543,20343,KEEP,None (strictly causal degradation trend)
s13_diff_1,s13,DERIVED_CAUSAL_TEMPORAL,float64,Delta/Average Units,Causal transform (s13_diff_1) within engine group,Engineered degradation indicator s13_diff_1 using strictly prior/current cycles,NASA_CMAPSS_FD001,RUL_Regression,CAUSAL_TIME_SERIES,1 to 10 cycles,YES,SAFE,0.0,0.0018414714041499523,67,KEEP,None (strictly causal degradation trend)
s13_degradation_delta,s13,DERIVED_CAUSAL_TEMPORAL,float64,Delta/Average Units,Causal transform (s13_degradation_delta) within engine group,Engineered degradation indicator s13_degradation_delta using strictly prior/current cycles,NASA_CMAPSS_FD001,RUL_Regression,CAUSAL_TIME_SERIES,1 to 10 cycles,YES,SAFE,0.0,0.0048321953214662304,107,KEEP,None (strictly causal degradation trend)
s13_roll_mean_5,s13,DERIVED_CAUSAL_TEMPORAL,float64,Delta/Average Units,Causal transform (s13_roll_mean_5) within engine group,Engineered degradation indicator s13_roll_mean_5 using strictly prior/current cycles,NASA_CMAPSS_FD001,RUL_Regression,CAUSAL_TIME_SERIES,1 to 10 cycles,YES,SAFE,0.0,0.0042130636108815,460,KEEP,None (strictly causal degradation trend)
s13_roll_mean_10,s13,DERIVED_CAUSAL_TEMPORAL,float64,Delta/Average Units,Causal transform (s13_roll_mean_10) within engine group,Engineered degradation indicator s13_roll_mean_10 using strictly prior/current cycles,NASA_CMAPSS_FD001,RUL_Regression,CAUSAL_TIME_SERIES,1 to 10 cycles,YES,SAFE,0.0,0.003915498068130003,870,KEEP,None (strictly causal degradation trend)
s13_roll_std_10,s13,DERIVED_CAUSAL_TEMPORAL,float64,Delta/Average Units,Causal transform (s13_roll_std_10) within engine group,Engineered degradation indicator s13_roll_std_10 using strictly prior/current cycles,NASA_CMAPSS_FD001,RUL_Regression,CAUSAL_TIME_SERIES,1 to 10 cycles,YES,SAFE,0.0,6.376388126341557e-05,18583,KEEP,None (strictly causal degradation trend)
s14_diff_1,s14,DERIVED_CAUSAL_TEMPORAL,float64,Delta/Average Units,Causal transform (s14_diff_1) within engine group,Engineered degradation indicator s14_diff_1 using strictly prior/current cycles,NASA_CMAPSS_FD001,RUL_Regression,CAUSAL_TIME_SERIES,1 to 10 cycles,YES,SAFE,0.0,19.734824396790195,3937,KEEP,None (strictly causal degradation trend)
s14_degradation_delta,s14,DERIVED_CAUSAL_TEMPORAL,float64,Delta/Average Units,Causal transform (s14_degradation_delta) within engine group,Engineered degradation indicator s14_degradation_delta using strictly prior/current cycles,NASA_CMAPSS_FD001,RUL_Regression,CAUSAL_TIME_SERIES,1 to 10 cycles,YES,SAFE,0.0,319.40999289794644,7548,KEEP,None (strictly causal degradation trend)
s14_roll_mean_5,s14,DERIVED_CAUSAL_TEMPORAL,float64,Delta/Average Units,Causal transform (s14_roll_mean_5) within engine group,Engineered degradation indicator s14_roll_mean_5 using strictly prior/current cycles,NASA_CMAPSS_FD001,RUL_Regression,CAUSAL_TIME_SERIES,1 to 10 cycles,YES,SAFE,0.0,326.60089873114293,14676,KEEP,None (strictly causal degradation trend)
s14_roll_mean_10,s14,DERIVED_CAUSAL_TEMPORAL,float64,Delta/Average Units,Causal transform (s14_roll_mean_10) within engine group,Engineered degradation indicator s14_roll_mean_10 using strictly prior/current cycles,NASA_CMAPSS_FD001,RUL_Regression,CAUSAL_TIME_SERIES,1 to 10 cycles,YES,SAFE,0.0,293.8644034491782,17683,KEEP,None (strictly causal degradation trend)
s14_roll_std_10,s14,DERIVED_CAUSAL_TEMPORAL,float64,Delta/Average Units,Causal transform (s14_roll_std_10) within engine group,Engineered degradation indicator s14_roll_std_10 using strictly prior/current cycles,NASA_CMAPSS_FD001,RUL_Regression,CAUSAL_TIME_SERIES,1 to 10 cycles,YES,SAFE,0.0,1.1031562653082618,20525,KEEP,None (strictly causal degradation trend)
s15_diff_1,s15,DERIVED_CAUSAL_TEMPORAL,float64,Delta/Average Units,Causal transform (s15_diff_1) within engine group,Engineered degradation indicator s15_diff_1 using strictly prior/current cycles,NASA_CMAPSS_FD001,RUL_Regression,CAUSAL_TIME_SERIES,1 to 10 cycles,YES,SAFE,0.0,0.0008101079864476914,2644,KEEP,None (strictly causal degradation trend)
s15_degradation_delta,s15,DERIVED_CAUSAL_TEMPORAL,float64,Delta/Average Units,Causal transform (s15_degradation_delta) within engine group,Engineered degradation indicator s15_degradation_delta using strictly prior/current cycles,NASA_CMAPSS_FD001,RUL_Regression,CAUSAL_TIME_SERIES,1 to 10 cycles,YES,SAFE,0.0,0.0015931448969321812,3518,KEEP,None (strictly causal degradation trend)
